Age BP,Varve
7169,0.215002738
7179,0.237263584
7189,0.202613874
7199,0.253668668
7209,0.413371858
7219,0.219932309
7229,0.419481777
7239,0.310506418
7249,0.418272959
7259,0.375761601
7269,0.163
7279,0.344467527
7289,0.156179776
7299,0.153874212
7309,0.175
7319,0.202787888
7329,0.196
7339,0.143946559
7349,0.17788326
7359,0.215990694
7369,0.362017012
7379,0.118775543
7389,0.339386947
7399,0.293478763
7409,0.253594934
7419,0.130220655
7429,0.405747813
7439,0.273890123
7449,0.188460421
7459,0.274904133
7469,0.156875807
7479,0.242449955
7489,0.235348029
7499,0.269953968
7509,0.252899952
7519,0.289571675
7529,0.200979716
7539,0.208169919
7549,0.088
7559,
7569,
7579,
7589,
7599,0.22
7609,0.212547834
7619,0.089631136
7629,0.167183364
7639,0.187160876
7649,0.371764329
7659,0.164
7669,
7679,
7689,0.149020289
7699,0.1110337
7709,0.225438456
7719,0.368
7729,
7739,
7749,
7759,
7769,0.410900491
7779,0.255343991
7789,0.629754652
7799,0.273588612
7809,0.237510257
7819,0.30967353
7829,0.152408599
7839,0.306003861
7849,0.209
7859,0.148204994
7869,0.170902982
7879,0.202
7889,0.28942641
7899,0.229525093
7909,0.260630321
7919,0.18389285
7929,0.206641546
7939,0.25
7949,0.221
7959,0.327373812
7969,0.140367226
7979,0.295461771
7989,0.2
7999,0.142
8009,0.205
8019,
8029,0.126630591
8039,0.205
8049,
8059,
8069,
8079,
8089,0.241860777
8099,0.201734418
8109,0.064651732
8119,0.261378751
8129,0.205
8139,
8149,
8159,
8169,0.11454811
8179,0.128445055
8189,0.125
8199,0.125381206
8209,0.104425848
8219,0.203
8229,0.199054808
8239,0.172593583
8249,0.231
8259,0.129189644
8269,0.143110998
8279,0.199940401
8289,0.330189539
8299,0.172243097
8309,0.170200639
8319,0.290380926
8329,0.175565096
8339,0.178
8349,
8359,
8369,
8379,
8389,0.130241169
8399,0.174678571
8409,0.175
8419,
8429,
8439,0.215269959
8449,0.418172145
8459,0.58409809
8469,0.207618533
8479,0.154223606
8489,0.274747583
8499,0.1
8509,0.191220054
8519,0.199235965
8529,0.176827623
8539,0.205
8549,0.189141135
8559,0.158091532
8569,0.163191834
8579,0.169
8589,0.180196217
8599,0.107892575
8609,0.092946563
8619,0.160002752
8629,0.118181131
8639,0.263325578
8649,0.347650055
8659,0.2
8669,0.232537388
8679,0.2
8689,0.28724307
8699,0.349270189
8709,0.382649154
8719,0.136721023
8729,0.171622335
8739,0.271351596
8749,0.275
8759,0.20181142
8769,0.213440656
8779,0.297287004
8789,0.163920804
8799,0.154110677
8809,0.261171588
8819,0.210963904
8829,0.351204406
8839,0.1063379
8849,0.160273219
8859,0.112592502
8869,0.1
8879,
8889,0.168696331
8899,0.176609771
8909,0.179084126
8919,0.194899147
8929,0.16110115
8939,0.139815596
8949,0.202486704
8959,0.108299218
8969,0.15020891
8979,0.139276804
8989,0.299646781
8999,0.154843816
9009,0.093810904
9019,0.47139963
9029,0.376003654
9039,0.304764608
9049,0.06315456
9059,0.120872036
9069,0.111140048
9079,0.086570033
9089,0.377531321
9099,0.221183879
